name,total,ice
3-28-22_210.csv,102638,22838
3-28-22_211.csv,100586,22686
3-28-22_212.csv,102182,23256
3-28-22_213.csv,101840,23446
3-28-22_214.csv,102106,23598
3-28-22_215.csv,101270,23408
3-28-22_216.csv,102030,24472
3-28-22_217.csv,102486,23332
newData_210.csv,92872,13262
newData_211.csv,93062,11324
newData_212.csv,93366,10716
newData_213.csv,93214,9044
newData_214.csv,92302,9044
newData_215.csv,96710,11704
newData_216.csv,98078,10602
newData_217.csv,96748,10564
newData_218.csv,92644,7068
newData_219.csv,97394,9538
